PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
247582194,21045028,0,2021-03-17T14:57:00,"Brookline Blvd & Witt St Pittsburgh, PA 15226",Y,Brookline,6,99,1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility. / 1301 Registration and Certificate of Title Required.,3206,4,5,-80.0059038778133,40.3924178544948
247583239,21045077,27,2021-03-17T16:10:00,"Forbes Ave & S Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,404,8,3,-79.9502260264243,40.4440516346455
247595750,21045154,10,2021-03-17T17:56:00,"3100 Block Huxley St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2022,2,5,-80.0620869394588,40.4534723441271
247599865,21045260,99,2021-03-17T20:40:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,809,7,2,-79.9498576275047,40.4620780855382
247602794,21045302,0,2021-03-17T22:06:00,"300 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,901 Criminal Attempt / 611.03 (b) Burglary Alarm to Deactivate After 30 Minutes,201,6,6,-79.9979301341696,40.4378124774382
247604571,21045334,26,2021-03-17T23:07:00,"2400 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL TRESPASS,3503 Criminal Trespass / 5506 Loitering and Prowling at Night,1919,4,5,-80.0216068822331,40.4000151264288
246670940,21038446,99,2021-03-07T04:55:00,"2600 Block Waddington Ave Pittsburgh, PA 15226",Y,Brookline,6,AIDED CASE,9497 Aided Case,1919,,,0,0
246672583,21038400,0,2021-03-07T02:38:00,"100 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,99,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,1115,7,2,-79.919381630796,40.4726220390404
246672956,21038414,21,2021-03-07T03:11:00,"Saw Mill Run Blvd & Library Rd Pittsburgh, PA 15227",Y,Overbrook,3,DUI - HIGHEST RATE OF ALCOHOL - BAC >= .16%,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3301 Driving on Right Side of Roadway. / 3714 Careless Driving / 3311 Driving on Divided Highways.,3204,4,5,-79.9959750614578,40.3824894539496
246678251,21038488,99,2021-03-07T07:45:00,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,FOUND PROPERTY,9489 Found Property,2614,6,1,-80.0111836603721,40.4705076955718
-3262101670,21038545,6,2021-03-07T10:30:00,"1200 Block Woodbourne Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,4,5,-80.0162418202755,40.3884650486531
246681920,21038563,99,2021-03-07T10:45:00,"800 Block Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,GAMBLING INVESTIGATION,9130 Graffiti Investigation,2615,6,1,-80.0200752612186,40.4684243376368
247666991,21045883,6,2021-03-18T20:49:00,"500 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1113,9,2,-79.9252877999661,40.4667464624736
247667044,21045895,6,2021-03-17T20:30:00,"Amanda St Pittsburgh, PA 15210",N,Carrick,3,THEFT,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2902,,,0,0
247674030,21045961,18,2021-03-18T22:39:00,"6400 Block Penn Ave Pittsburgh, PA 15206",Y,Larimer,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,1208,9,2,-79.917435063919,40.4575134909614
247674940,21046017,0,2021-03-19T01:00:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,99,9994 PFA Service,1306,9,2,-79.8740675554629,40.4532044463424
247675089,21045995,0,2021-03-19T00:01:00,"100 Block Hartman Ln Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1201,,,0,0
247678899,21045387,10,2021-03-18T01:00:00,"30 Block S 6th St Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief.",1702,3,3,-79.9938044797986,40.4297627362741
247700926,21046204,27,2021-03-19T10:20:00,"5th Ave & Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,708,8,3,-79.9207158563846,40.452902087372
247701335,21046192,99,2021-03-19T10:47:00,"1700 Block Perrysville Ave Pittsburgh, PA 15212",N,Central North Side,1,DOG BITE,9492 Dog Bite,2503,6,1,-80.0097081468016,40.4603961926616
247702481,21046229,6,2021-03-19T10:00:00,"100 Block Rahe St Pittsburgh, PA 15210",N,Arlington,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1603,3,3,-79.9798864773248,40.4171349250202
247703002,21046251,14,2021-03-19T07:30:00,"1800 Block West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1917,4,5,-80.0185049040731,40.4064015306488
247703045,21046225,11,2021-03-18T18:00:00,"6400 Block Adelphia St Pittsburgh, PA 15206",N,Stanton Heights,5,THEFT BY DECEPTION,3922 Theft by Deception.,1018,7,2,-79.9317168626308,40.4871736766039
