Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
Allegheny Center,1,870,93,184,59,128,51,56,35,0,10,56,35,686,79,529,81,157,53
Allegheny West,2,146,36,70,32,66,32,4,7,4,7,0,10,76,29,61,25,15,15
Allentown,3,1069.0,132.457540367,622.0,130.234404057,175.0,63.584589328,447.0,134.718224454,16.0,23.6854385646,431.0,133.360413917,447.0,106.386089316,383.0,101.710373119,64.0,50.2493781056
Arlington,4,701.0,104.465305245,394.0,78.3198569968,230.0,59.5147040655,164.0,61.302528496,44.0,31.7647603486,120.0,54.7265931701,307.0,78.5684415017,180.0,56.1515805655,127.0,55.6686626388
Arlington Heights,5,144,59,86,62,0,10,86,62,0,10,86,62,58,33,58,33,0,10
Banksville,6,1946.0,229.222599235,913.0,174.421902294,712.0,158.682072081,201.0,109.32520295,104.0,90.2718117687,97.0,65.9393660873,1033.0,198.123698734,926.0,209.098063119,107.0,64.9615270757
Bedford Dwellings,7,723,53,342,78,63,37,279,74,50,27,229,69,381,70,348,65,33,24
Beechview,8,3567.0,258.027130357,1929.0,213.356509158,1145.0,161.718891908,784.0,162.453070146,193.0,87.1091269615,591.0,141.513250263,1638.0,232.340267711,1291.0,199.612123881,347.0,128.852628998
Beltzhoover,9,848.0,156.057681644,379.0,102.601169584,169.0,87.412813706,210.0,75.5579247994,31.0,32.4499614791,179.0,71.1688133947,469.0,138.285935655,411.0,130.31116606,58.0,57.2625532089
Bloomfield,10,4571.0,205.494525475,1281.0,138.028982464,852.0,105.052367893,429.0,101.508620324,141.0,68.7386354244,288.0,78.9746794866,3290.0,209.804671064,2254.0,189.348884337,1036.0,145.904078079
Bluff,11,240.0,47.0,67.0,31.064449134,45.0,27.2946881279,22.0,21.6564078277,16.0,20.0,6.0,20.0,173.0,44.1021541424,119.0,39.0512483795,54.0,33.5410196625
Bon Air,12,372,71,257,67,180,43,77,65,0,10,77,65,115,59,97,53,18,18
Brighton Heights,13,3222.0,192.234232123,1890.0,183.270292192,1226.0,139.456086278,664.0,142.428929646,223.0,95.843622636,441.0,114.638562447,1332.0,164.708834007,1119.0,154.171981891,213.0,65.35288823
Brookline,14,5843.0,327.694980128,3376.0,302.886117212,2255.0,259.603543889,1121.0,210.627633515,327.0,121.827747249,794.0,180.745677679,2467.0,264.920742865,2093.0,244.13520844,374.0,143.268977801
California-Kirkbride,15,333,38,170,47,67,36,103,41,0,10,103,41,163,44,134,42,29,30
Carrick,16,4301.0,277.613040039,2416.0,221.686715885,1587.0,180.016665896,829.0,161.27926091,81.0,51.0294032887,748.0,156.85024705,1885.0,243.639077325,1484.0,213.918208669,401.0,137.186005117
Central Business District,17,1968.0,221.43847904,415.0,116.241128694,361.0,108.673823895,54.0,40.5462698654,34.0,35.1994318136,20.0,29.883105595,1553.0,207.197972963,1286.0,190.986910545,267.0,105.133248784
Central Lawrenceville,18,2338.0,171.57214226,941.0,125.996031684,638.0,106.691143025,303.0,86.9770084563,69.0,44.4747119158,234.0,76.8700201639,1397.0,172.997109802,911.0,137.065677687,486.0,117.720006796
Central Northside,19,1479.0,113.929802949,516.0,92.9784921366,297.0,65.9241988954,219.0,78.5366156643,21.0,28.7228132327,198.0,75.1598296965,963.0,113.282831885,785.0,101.57263411,178.0,61.3269924259
Central Oakland,20,1903.0,157.39758575,295.0,80.0687204843,145.0,35.4823899984,150.0,78.7146746166,100.0,69.4910066124,50.0,34.7850542619,1608.0,159.467865101,542.0,117.106788872,1066.0,147.434731322
Chartiers City,21,271,60,171,51,103,50,68,41,16,18,52,37,100,59,100,59,0,10
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,3,3,3,3,0,10
Crafton Heights,23,1677.0,126.795110316,1031.0,115.827457885,569.0,93.1611507014,462.0,100.329457289,67.0,41.8330013267,395.0,91.7333091086,646.0,101.936254591,505.0,93.9946807006,141.0,58.9321643926
Crawford-Roberts,24,1125.0,138.592929113,493.0,108.90362712,137.0,68.8839603972,356.0,104.661358676,34.0,34.885527085,322.0,99.2471662064,632.0,116.498927034,587.0,116.498927034,45.0,32.4499614792
Duquesne Heights,25,1170.0,125.207827231,652.0,101.862652626,498.0,100.409162928,154.0,61.554853586,44.0,32.6496554346,110.0,52.4976189936,518.0,101.019800039,376.0,82.2192191644,142.0,75.5910047559
East Allegheny,26,1302.0,155.051604313,352.0,96.5194280961,216.0,71.4002801115,136.0,73.5730929077,42.0,32.0156211872,94.0,65.7647321898,950.0,150.615404259,772.0,134.951843263,178.0,85.0
East Carnegie,27,264,39,140,39,58,28,82,38,13,12,69,35,124,38,98,40,26,17
East Hills,28,1325.0,165.508307949,648.0,135.602359861,211.0,89.0112352459,437.0,112.222992297,28.0,27.0,409.0,108.673823895,677.0,144.149228232,617.0,140.474196919,60.0,58.7367006224
East Liberty,29,2902.0,249.248871613,1116.0,197.595546508,395.0,113.406349029,721.0,172.881462279,98.0,73.2529862872,623.0,166.682332597,1786.0,204.296353369,1522.0,203.558345445,264.0,81.3818161508
Elliott,30,953.0,120.370262109,578.0,91.7115041857,298.0,75.986840966,280.0,86.0058137569,68.0,37.549966711,212.0,78.2176450681,375.0,107.694010976,325.0,104.096109437,50.0,32.8329103187
Esplen,31,142,48,60,38,38,25,22,29,6,9,16,26,82,47,49,36,33,34
Fairywood,32,428,81,194,78,104,55,90,63,33,27,57,54,234,68,40,29,194,63
Fineview,33,624.0,108.931170929,396.0,95.7757798193,203.0,84.9058301885,193.0,59.6154342432,21.0,30.6757233004,172.0,57.7754273026,228.0,60.2162768693,211.0,60.8029604542,17.0,13.416407865
Friendship,34,1074.0,122.065556157,350.0,116.824654932,240.0,102.649890404,110.0,76.4852927039,0.0,14.1421356237,110.0,76.4852927039,724.0,130.0,579.0,119.920807202,145.0,67.8969807871
Garfield,35,1571.0,116.914498673,883.0,100.12991561,333.0,65.9621103361,550.0,88.9831444713,76.0,48.3528696149,474.0,81.9206933564,688.0,97.5448614741,535.0,84.7407812095,153.0,64.5445582525
Glen Hazel,36,241,80,127,78,17,28,110,72,0,10,110,72,114,57,101,55,13,19
Greenfield,37,3438.0,251.708164349,2043.0,237.010548289,1600.0,218.126110312,443.0,151.258057637,93.0,85.5160803592,350.0,130.01153795,1395.0,219.004566162,1060.0,200.536779669,335.0,128.782762823
Hays,38,185,43,113,41,37,21,76,39,13,12,63,38,72,33,72,33,0,10
Hazelwood,39,1870.0,201.881153157,1001.0,173.620275314,519.0,120.888378267,482.0,137.244307714,78.0,48.6415460281,404.0,129.038753869,869.0,152.797251285,763.0,138.621787609,106.0,75.5910047559
