id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1816791851,Able Long Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Able_Long_Park.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.4084325,-80.02832724
1599892422,Albert Turk Graham Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Albert_Turk_Graham_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44044524,-79.98406059
1422043278,Allegheny Commons Arch St,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_Arch_St.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45438163,-80.00827734
1237191582,Allegheny Commons East Tennis Courts,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_East_Tennis_Courts.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45086643,-80.00195858
1146184773,Allegheny Commons Pool,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_Pool.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45099508,-80.0014984
1230448600,Alton Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Alton_Park.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41427193,-80.02145342
887743707,Ammon Park Building,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Ammon_Park_Building.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44927768,-79.97786745
1767127832,Ammon Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Ammon_Park_Spray.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44914435,-79.97810748
354464900,Armstrong Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Armstrong_Park.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42829207,-79.98619529
495479912,Armstrong Park Spray,Continuous,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Armstrong_Park_Spray.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42817711,-79.98612368
1616218742,August Wilson Park,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/August_Wilson_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44658316,-79.98583618
778611148,Banksville Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Banksville_Park.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.41432334,-80.03993063
2022336,Banksville Pool,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Banksville_Pool.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.41474939,-80.04024641
1397516664,Bloomfield Playground,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Bloomfield_Playground.jpg,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46228657,-79.95336561
1198549820,Bon Air Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Bon_Air_Park.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.40749117,-79.99953641
903065143,Boundary Street Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Boundary_Street_Park.jpg,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43857566,-79.95029014
1371255230,Brighton Heights 2,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_2.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48682597,-80.03104294
675378423,Brighton Heights 3,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_3.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48630887,-80.03013935
2077339333,Brighton Heights Pool,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_Pool.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4868965,-80.03094549
967061988,Brookline Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39136338,-80.00850695
1253116635,Brookline Park 2,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park_2.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39105112,-80.00823674
1398545450,Brookline Park 3,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park_3.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39170971,-80.0077692
1775080401,Brookline Park 4,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park_4.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.39008279,-80.00738698
1663633639,Bud Hammer Field,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Bud_Hammer_Field.jpg,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42070405,-79.94627084
